"All Cancer Sites Combined"
"Long-Term Trends in SEER Age-Adjusted Incidence Rates, 1975-2022"
"By Age, Delay-adjusted SEER Incidence Rate, Both Sexes, All Races / Ethnicities"

"","Ages &lt;15","Ages &lt;15","Ages &lt;15","Ages &lt;15","Ages 15-39","Ages 15-39","Ages 15-39","Ages 15-39","Ages 40-64","Ages 40-64","Ages 40-64","Ages 40-64","Ages 65-74","Ages 65-74","Ages 65-74","Ages 65-74","Ages 75+","Ages 75+","Ages 75+","Ages 75+"
"1984","13.7","12.6","14.9","13.6","65.2","63.3","67.1","64.8","503.3","497.0","509.8","502.2","1,712.8","1,689.3","1,736.5","1,725.6","2,316.9","2,284.1","2,350.1","2,349.8"
"1985","14.4","13.3","15.7","13.7","67.0","65.1","68.9","66.4","521.3","514.8","527.8","507.8","1,745.3","1,721.8","1,769.0","1,754.6","2,341.7","2,309.1","2,374.6","2,382.6"
"1986","14.8","13.7","16.0","13.8","68.8","66.9","70.7","68.0","513.2","506.8","519.7","513.6","1,794.6","1,771.0","1,818.5","1,784.0","2,361.5","2,329.3","2,394.0","2,415.8"
"1987","14.6","13.4","15.8","13.9","70.7","68.9","72.6","69.6","526.4","519.9","532.8","519.4","1,855.7","1,831.9","1,879.8","1,814.0","2,491.0","2,458.4","2,524.0","2,449.5"
"1988","13.4","12.3","14.5","14.0","71.2","69.4","73.1","71.2","521.0","514.7","527.4","525.2","1,854.7","1,831.0","1,878.5","1,844.5","2,465.3","2,433.3","2,497.7","2,483.7"
"1989","15.3","14.1","16.5","14.1","73.0","71.1","74.9","72.9","516.0","509.7","522.3","531.2","1,869.4","1,845.9","1,893.2","1,875.5","2,497.7","2,465.9","2,529.9","2,518.3"
"1990","14.3","13.2","15.5","14.2","73.8","72.0","75.8","74.7","533.6","527.3","540.0","537.2","1,943.0","1,919.2","1,967.0","1,960.4","2,554.8","2,523.1","2,586.8","2,553.4"
"1991","14.9","13.8","16.1","14.3","72.3","70.5","74.2","73.5","545.1","538.7","551.4","543.2","2,073.5","2,049.0","2,098.1","2,049.1","2,667.0","2,635.1","2,699.2","2,589.0"
"1992","13.4","12.4","14.5","14.4","73.5","71.7","75.4","72.2","554.1","547.8","560.4","549.4","2,144.9","2,120.3","2,169.9","2,141.9","2,665.8","2,634.4","2,697.5","2,625.2"
"1993","15.1","14.0","16.2","14.5","69.5","67.7","71.3","71.1","541.3","535.2","547.5","550.7","2,065.0","2,040.9","2,089.3","2,078.0","2,529.0","2,498.8","2,559.4","2,551.1"
"1994","13.9","12.8","15.0","14.6","69.9","68.1","71.7","69.9","548.7","542.6","554.9","551.9","2,001.8","1,978.1","2,025.7","2,016.1","2,424.3","2,395.2","2,453.6","2,479.2"
"1995","14.3","13.2","15.4","14.7","69.9","68.1","71.7","68.7","544.7","538.7","550.8","553.2","1,974.9","1,951.4","1,998.6","1,956.0","2,381.5","2,353.1","2,410.1","2,409.3"
"1996","14.8","13.7","15.9","14.8","67.6","65.8","69.3","67.6","557.0","551.0","563.0","554.5","1,952.7","1,929.3","1,976.3","1,973.2","2,413.9","2,385.8","2,442.3","2,414.9"
"1997","14.5","13.4","15.6","14.9","66.3","64.6","68.1","66.5","560.7","554.8","566.7","555.8","2,016.2","1,992.4","2,040.3","1,990.5","2,428.2","2,400.4","2,456.3","2,420.5"
"1998","15.5","14.4","16.6","15.0","65.0","63.3","66.8","65.4","557.0","551.2","562.9","557.1","1,996.9","1,973.1","2,021.0","2,008.0","2,476.4","2,448.6","2,504.4","2,426.1"
"1999","14.7","13.7","15.9","15.1","65.9","64.2","67.7","66.4","563.9","558.2","569.7","558.4","2,053.6","2,029.4","2,078.1","2,025.7","2,440.7","2,413.4","2,468.3","2,431.7"
"2000","15.4","14.3","16.6","15.2","67.9","66.1","69.7","67.3","564.5","558.9","570.2","559.7","1,981.6","1,957.8","2,005.6","2,017.4","2,426.5","2,399.5","2,453.7","2,437.3"
"2001","15.9","14.8","17.1","15.3","68.2","66.4","70.0","68.3","570.8","565.2","576.5","561.0","2,046.4","2,022.2","2,070.9","2,009.2","2,495.6","2,468.4","2,522.9","2,443.0"
"2002","15.7","14.6","16.8","15.5","69.3","67.5","71.1","69.3","576.2","570.7","581.8","562.3","2,023.1","1,999.0","2,047.5","2,001.0","2,453.4","2,426.7","2,480.4","2,448.6"
"2003","13.6","12.5","14.6","15.6","71.2","69.4","73.0","70.3","560.0","554.6","565.4","563.6","1,959.9","1,936.2","1,983.8","1,992.8","2,435.2","2,408.7","2,461.9","2,454.3"
"2004","15.8","14.7","16.9","15.7","71.7","69.9","73.6","71.3","560.7","555.4","566.0","564.9","1,960.7","1,937.1","1,984.5","1,984.7","2,471.5","2,444.9","2,498.3","2,460.0"
"2005","17.1","16.0","18.3","15.8","72.4","70.6","74.3","72.3","563.1","557.9","568.3","566.3","1,931.7","1,908.4","1,955.2","1,976.6","2,441.7","2,415.4","2,468.2","2,465.7"
"2006","14.9","13.8","16.0","15.9","71.1","69.3","72.9","73.4","568.9","563.8","574.1","567.6","1,971.8","1,948.5","1,995.3","1,968.5","2,459.4","2,433.1","2,485.9","2,471.4"
"2007","15.3","14.3","16.5","16.0","74.5","72.6","76.4","74.4","570.5","565.4","575.6","568.9","1,991.7","1,968.6","2,015.0","1,960.5","2,481.3","2,455.0","2,507.8","2,477.1"
"2008","15.9","14.9","17.1","16.1","77.1","75.2","79.0","75.5","565.5","560.5","570.5","570.2","1,959.4","1,937.0","1,982.1","1,952.5","2,434.6","2,408.6","2,460.8","2,448.4"
"2009","16.5","15.4","17.7","16.2","76.4","74.5","78.3","75.8","571.7","566.7","576.7","571.6","1,945.9","1,923.9","1,968.0","1,944.5","2,410.7","2,384.9","2,436.7","2,420.0"
"2010","17.6","16.4","18.7","16.3","74.7","72.9","76.6","76.2","553.6","548.7","558.5","560.3","1,900.1","1,878.8","1,921.6","1,896.6","2,401.3","2,375.6","2,427.2","2,392.0"
"2011","16.6","15.5","17.8","16.4","75.6","73.8","77.5","76.5","550.5","545.7","555.3","549.3","1,855.5","1,834.8","1,876.4","1,849.9","2,372.0","2,346.5","2,397.6","2,364.3"
"2012","16.4","15.3","17.5","16.6","76.7","74.8","78.6","76.8","534.8","530.1","539.6","538.6","1,796.0","1,776.2","1,815.9","1,804.3","2,347.6","2,322.4","2,373.0","2,336.9"
"2013","16.9","15.8","18.0","16.7","75.4","73.6","77.3","77.1","528.9","524.2","533.7","528.0","1,781.1","1,762.0","1,800.3","1,759.8","2,315.6","2,290.8","2,340.7","2,309.8"
"2014","16.6","15.5","17.8","16.8","78.5","76.6","80.4","77.5","536.8","532.1","541.5","530.8","1,741.3","1,722.8","1,759.9","1,767.3","2,312.6","2,287.9","2,337.5","2,319.4"
"2015","18.5","17.3","19.7","16.9","79.2","77.4","81.1","77.8","538.8","534.1","543.6","533.6","1,775.0","1,756.7","1,793.3","1,774.9","2,307.2","2,282.6","2,331.9","2,329.0"
"2016","17.7","16.5","18.9","17.0","80.8","79.0","82.7","78.1","533.7","529.0","538.4","536.5","1,793.4","1,775.4","1,811.5","1,782.4","2,334.9","2,310.5","2,359.6","2,338.6"
"2017","17.5","16.4","18.7","17.1","78.0","76.2","79.8","78.5","536.8","532.1","541.5","539.3","1,796.9","1,779.4","1,814.5","1,790.0","2,346.6","2,322.3","2,371.0","2,348.3"
"2018","17.1","16.0","18.3","17.3","76.8","75.0","78.6","78.8","534.4","529.7","539.1","542.2","1,772.2","1,755.1","1,789.4","1,797.7","2,344.4","2,320.6","2,368.5","2,358.0"
"2019","16.3","15.2","17.4","17.4","79.4","77.6","81.2","79.1","543.1","538.4","547.9","545.1","1,814.2","1,797.2","1,831.3","1,805.3","2,395.3","2,371.6","2,419.3","2,367.8"
"2020","17.4","16.3","18.6","17.5","73.4","71.7","75.2","79.5","489.9","485.4","494.5","548.0","1,616.1","1,600.3","1,631.9","1,813.0","2,190.1","2,167.6","2,212.8","2,377.6"
"2021","16.6","15.4","17.7","17.6","80.2","78.3","82.0","79.8","558.7","553.9","563.6","550.9","1,836.8","1,820.2","1,853.5","1,820.8","2,419.1","2,395.7","2,442.7","2,387.5"
"2022","17.3","16.1","18.5","17.7","79.6","77.7","81.4","80.1","552.8","547.9","557.7","553.8","1,817.8","1,801.3","1,834.5","1,828.5","2,366.0","2,343.3","2,388.9","2,397.3"


"Data Source:"
"-SEER Incidence Data, November 2024 Submission (1975-2022), SEER 8 registries [https://seer.cancer.gov/registries/terms.html]."
"Methodology:"
"-Rates are per 100,000 and are age-adjusted to the 2000 US Std Population (20 age groups - Census P25-1130)."
"-The Annual Percent Change (APC) and Average Annual Percent Change (AAPC) estimates were calculated from the underlying rates using the Joinpoint Trend Analysis Software [https://surveillance.cancer.gov/joinpoint], Version 5.4, April 2025, National Cancer Institute using the default settings."
"-The APC's/AAPC's direction is 'Rising' when the entire 95% confidence interval (C.I.) is above 0, 'Falling' when the entire 95% C.I. is lower than 0, otherwise, the trend is considered 'Not Significant'."
"-The 2020 incidence rate(s) were not used in the fit of the trend line(s) and are displayed on the graph as gray data points. Impact of COVID on SEER Cancer Incidence 2020 data [https://seer.cancer.gov/data/covid-impact.html]"
"Race/Ethnicity Coding:"
"-For years prior to 1990, the Census Bureau has only provided county-level population estimates for White, Black, and Other races."
"Cancer Site Coding:"
"-See SEER*Explorer Cancer Site Definitions [https://seer.cancer.gov/statistics-network/explorer/cancer-sites.html] for details about the cancer site coding used for SEER Incidence data."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Thu Feb 12 2026.
